id|gloss
00_0063|هو تاريخ ذهاب سينما فيلم تاريخ
00_0064|هو الان مطر
00_0065|لا مطر الان لا
00_0066|لا برد الان
00_0067|سوال صحه هو
00_0068|شكر د
00_0069|هو مطر غدا
00_0070|لا غدا مطر لا
00_0071|هو عمل سوال
00_0072|انا شعر قراءه
00_0073|انا شراء تفاحه موزه انواع
00_0074|انا سعيد مقابله
00_0075|هو رغبه رياضه سوال قلب رغبه سوال
00_0076|انا حب كره_قدم كثير حب
00_0077|سوال هو شراء تفاحه
00_0078|انا شراء تفاحه لا_يوجد
00_0079|هو لبس جيد حلو
00_0080|جو برد قليل
00_0081|انا الان ماضي تعب
00_0082|هو مشاهده هاتف مشاهده
00_0083|هو صديق انا
00_0084|سوال عمر اخ هو
00_0085|انا استيقاظ وقت خمس صباح كل_يوم
00_0086|نهايه كتابه منزل نهايه
00_0087|انا خلط اكل خلط كل_يوم ليل
00_0088|انا خوف
00_0089|سبب خوف
00_0090|دعوه مع دعوه اكل ليل دعوه الان ليل
00_0091|سوال كرسي حمام
00_0092|انا رغبه شرب بقره
00_0093|اعاده عوده مدرسه حافله
00_0094|هو اكل صباح اكل هو
00_0095|انا اب خلط اكل نارغرفه
00_0096|مكتبه مدرسه جميل
00_0097|لا حب اكل موز
00_0098|كتاب جواز تذكره طياره حقيبه_يد يوجد
00_0099|انا اب حادث
00_0100|انا اكل ليل وقت تسع
00_0101|انا زوج عمل كثير
00_0102|زوج عمل سوال اكل لوحه
00_0103|هو طفل رغبه لعب انواع كثير
00_0104|رغبه حذاء خوف
00_0105|انا رغبه تلفاز حاسب خوف
00_0106|هو رغبه دراجه
00_0107|زهره مطر رغبه
00_0108|استفهام هو جوع اكل هو
00_0109|هو يوجد سلطه اتقان
00_0110|استفهام هو تفاحه اتقان
00_0111|اخ جوع
00_0112|هو ام جوع
00_0113|الان تفاحه موزه يوجد لوحه
00_0114|هو مساعده
00_0115|شرطه استفهام منزل ام سوال
00_0116|تاريخ زوج هو ذهاب سينما
00_0117|معلم ذهاب مركز صم يوم الاربعاء
00_0118|شخص صم ذهاب مركز صم
00_0119|انا بيتزا سوال لوحه اكل
00_0120|هو رغبه حب اكل شوكولاته بسكوت حب هو
00_0121|انا سياره ركوب ذهاب لوحه بقاله شوكولاته
00_0122|بنت دراجه
00_0123|انا صديق دراجه ماضي
00_0124|شرطه دراجه_ناريه
00_0125|ولد صم هو سياره قدره
00_0126|مدرسه شخص سياره ذهاب وصل مركز سياره
00_0127|استفهام الحذاء مشاهده سوال
00_0128|هو قدره مشاهده نظاره
00_0129|لاب_توب حاسب مشاهده لاب_توب
00_0130|انا ذهاب سينما الان ليل
00_0131|اخ ذهاب اكل لوحه
00_0132|انا ذهاب لوحه شوكولاته بقاله انواع شراء
00_0133|زوج ذهاب لوحه بقاله
00_0134|دعوه نداء اكل رغبه تعداد
00_0135|الان برد ليل برد
00_0136|الان برد ماضي مركز صم
00_0137|انا شعور برد حافله داخل ليل الان
00_0138|شراء شاي شرب رغبه هو
00_0139|انا شراء شوكولاته
00_0140|ولد شخص شراء ماء
00_0141|انا غدا حاسب شراء
00_0142|الان خس ال خ س لوحه بقاله
00_0143|انا الان خلط اكل
00_0144|الان خلط لا
00_0145|وقت سوال حافله دخول
00_0146|وقت رئيس ذهاب وقت سوال
00_0147|رقم بسكوت مال تفاحه مال رقم
00_0148|زوج هو معرفه لغه اشاره
00_0149|هو صديق هو معرفه لغه اشاره
00_0150|بنت هو قراءه
00_0151|ولد قراءه
00_0152|صديق كتاب قراءه
00_0153|ام قراءه كل_يوم السبت
00_0154|اخ حب كتاب خوف هو
00_0155|انا حب شاي
00_0156|انا حب بقره اتقان
00_0157|طفل حب ثلج هو
00_0158|انا حب شوكولاته بقره
00_0159|هو حب شوكولاته بسكوت
00_0160|سلطه اتقان ممتاز
00_0161|موزه تفاحه اتقان ممتاز جيد
00_0162|انا صديق كتابه
00_0163|ممكن صديق قدره كتابه
00_0164|لعب هو ممتاز
00_0165|انا بحث تفاحه احمر
00_0166|هو رغبه قهوه شاي رغبه سوال
00_0167|هو بحث قهوه شاي
00_0168|انا بحث تفاحه احمر شوكولاته
00_0169|رئيس اتصال
00_0170|استفهام غدا صديق لقاء
00_0171|انا غدا صديق لقاء
00_0172|هو شرب هو
00_0173|انا شرب ماضي
00_0174|ولد شخص ماء هو
00_0175|نسيان دراجه
00_0176|انا جميع جوع
00_0177|حافله خوف هو
00_0178|سوال بيتزا
00_0179|نظاره غالي
00_0180|حذاء رخيص
00_0181|حاسب لاب_توب غالي
00_0182|شوكولاته صحه
00_0183|اب مستشفى منزل سبب حادث
00_0184|استئذان عصير تفاحه
00_0185|رغبه صوره قط صغير
00_0186|انا خوف ولاده قبل وقت
00_0187|انا ام ذهاب مستشفى سبب مرض
00_0188|انا نوم تقلب
00_0189|ابن زعل سبب كلب موت
00_0190|جد ماضي هو حزن سبب طير موت
00_0191|انا زعل سبب قط موت الان صباح
00_0192|انا ذهاب مزرعه شراء بيض موزه انواع
00_0193|وجوب استيقاظ وقت سبع كل_يوم
00_0194|انا صديق صم قدره ترجمه اشاره
00_0195|استئذان تذكره طياره عطاء
00_0196|ترجمه ذهاب مركز الثلاثاء مستمر
00_0197|انا حفيد رغبه سباحه بحر
00_0198|انا معرفه اخبار ترجمه مشاهده معرفه
00_0199|مشاهده شاشه قليل مشاهده اخبار
00_0200|انا غدا وقت اثنان عمل خلاص
00_0201|هو هاتف اتصال شرطه
00_0202|رغبه ساعه تخفيض طياره معاق
00_0203|انا اسم سياره اسم
00_0204|استفهام صدر خوف مسوول سوال سياره اسم
00_0205|هو وجوب شرب زياده
00_0206|كتاب صباح صيف مكتبه لوحه صباح صيف
00_0207|ولد سرق هاتف
00_0208|انا ولد هو هاتف اخذ اختفاء
00_0209|انت سوال ذهاب جري
00_0210|مستمر جري بحر
00_0211|سوال هو ماضي هو
00_0212|هو ماضي كوفي انتظار
00_0213|هو انا بحث هاتف بحث جواب
00_0214|هو رغبه اسبوع اخر راحه سعيد
00_0215|انا رغبه جواز سفر رغبه
00_0216|رغبه شكوى
00_0217|انا رغبه طبيب د
00_0218|د يوجد غدا يوجد
00_0219|مشكله سوال
00_0220|انا لا صحه سيئ
00_0221|انا استفراغ ثاني اسهال انا
00_0222|تاريخ سوال اسهال تاريخ فتح
00_0223|ثلاث قبل
00_0224|هو حمى هو
00_0225|نعم انا دوخه
00_0226|انا ماضي ثلاث اكل سوال
00_0227|انا رغبه وقت موعد صوره بطن رغبه
00_0228|هو تجنب بقره خضار انواع تجنب
00_0229|انا قدره دجاج سمكه
00_0230|تمام اريد اكل رز مكرونه قدره
00_0231|انا عمل لا_يوجد تامين لا_يوجد
00_0232|هو دفع مال سوال
00_0233|بنك اي_شي
00_0234|هو مقابله ملكيه مقابله محادثه
00_0235|اعاده عوده ثلاث عوده
00_0236|هو عوده مع هو
00_0237|ان_شاء_الله غدا دفع
00_0238|رغبه مستقبل سعيد
00_0239|مهم بطاقه هويه اخذ صوره
00_0240|ولد سرقه حقيبه_يد
00_0241|هو اختبار اخر شهاده
00_0242|هو رخصه رسمي واحد ثلاث
00_0243|بطاقه سوال اسابيع ثلاث
00_0244|جواز كتاب اتقان ممكن عشر_ايام
00_0245|وجوب دفع جواز سفر
00_0246|شكر
00_0247|شكر مساعده
00_0248|صباح خير
00_0249|صباح خير طاعه خدمه سوال
00_0250|صباح خير هو رغبه مساعده
00_0251|ولد صفه سوال
00_0252|ولد طويل نحيف شعر اصفر قصير
00_0253|انا بطن الم
00_0254|انا جواز تاريخ انتهاء
00_0255|سبب ولد شخص لبس سوال
00_0256|ولد لبس بنطال احمر حذاء ابيض
00_0257|سوال جواز تاريخ انتهاء تاريخ سوال
00_0258|سن خمس
00_0259|سوال ضياع حقيبه_يد
00_0260|ماضي مرض خطر
00_0261|هاتف هويه ضياع سوال
00_0262|هو بطن ت س م م
00_0263|انا هويه ضياع
00_0264|انا ممتاز اتقان
00_0265|وقت مسافه طياره خارج مسافه تاريخ سوال
00_0266|تاريخ سرقه تاريخ سوال
00_0267|ماضي
00_0268|تاريخ فتح مرض
00_0269|مرض ماضي صغير مرض
00_0270|دعوه انا رغبه مساعده
00_0271|انا دعوه طاعه مساعده
00_0272|دعوه اخبار حال جيد
00_0273|ليل خير
00_0274|مع_السلامه
00_0275|سوال ازعاج سوال
00_0276|هو دواء ماضي يوجد
00_0277|هو يوجد تحويل د
00_0278|انا نعم د بطن
00_0279|هو يوجد تامين
00_0280|نعم تامين
00_0281|هو رخصه سياره هو
00_0282|هو بطاقه صوره هويه هو
00_0283|ثاني صوره سوال جواز_سفر
00_0284|ولاده طفل اتقان
00_0285|ولاده ماضي تسع
00_0286|وجوب طلب صوره هويه
00_0287|سوال هو هاتف مشاهده سوال
00_0288|طاوله على
00_0289|استفهام سوال سرقه هاتف هو
00_0290|هو كتابه تفاصيل حال
00_0291|هو عضو مع السعوديه قصه
00_0292|نعم انا مع السعوديه قصه رمايه صم
00_0293|غدا شهاده تقديم
00_0294|سوال عمر سن
00_0295|انا تعليم ولد اخر شهاده
00_0296|انا رغبه لا ممتاز
00_0297|هو قلم يوجد
00_0298|هو كتابه تاريخ الان
00_0299|انا رغبه بطاقه سياره
00_0300|استفهام دواء قدره هو
00_0301|انا نوم ليل
00_0302|انا حب لون ابيض كره لون اسود
00_0303|انا رغبه شراء سوق لوحه
00_0304|انا اسم ا ح م د
00_0305|انا عمل ترجمه لغه اشاره
00_0306|انا قراءه كتاب
00_0307|انا مع اسره مع مشاهده كره_قدم مباراه
00_0308|انا رغبه ذهاب مستشفى سبب ابن مرض
00_0309|انا اب بيع تصوير
00_0310|اب انا لون حب لون ازرق ام لون حب سوال وردي
00_0311|انا حب اب
00_0312|انا حب بنت اخ
00_0313|انا حب صلاه
00_0314|انا حب اكل
00_0315|انا حب صديق
00_0316|انا اخ بنت جميل
00_0317|انا اخ زواج الثلاثاء قادم
00_0318|حقيبه_ظهر حقيبه_يد خفيف
00_0319|انا اخ سياره سرعه
00_0320|انا مساعده ام منزل
00_0321|انا مساعده فقير
00_0322|انا صديق مدرسه مع ثلاث بنت ولد خمس
00_0323|انا معرفه لغه اشاره
00_0324|انا وضوء صلاه
00_0325|انا حب كره_قدم صيد سمكه
00_0326|انا طاعه سوال معلم
00_0327|انا زياره اقارب مستمر
00_0328|انا عمل معلم مدرسه
00_0329|انا نار خلط صباح اكل
00_0330|انا حفظ مدرسه قراءه
00_0331|انا مدرسه جامعه
00_0332|انا معرفه قراءه مدرسه
00_0333|انا ذهاب مدرسه
00_0334|انا مشي منزل
00_0335|انا فوضى ترتيب غرفه نوم
00_0336|انا طاعه معلم بنت
00_0337|انا ذهاب مع اب صلاه الجمعه
00_0338|انا زوج مع كل_يوم مشي
00_0339|اب نوم سرير
00_0340|الاسبوع_الماضي جد موت رحمه الله
00_0341|الاسبوع_الماضي صديق جد موت
00_0342|الجمعه السبت اجازه
00_0343|شرطه قال ممنوع انتظار
00_0344|صيف نهايه ذهاب برد
00_0345|غني مساعده فقير
00_0346|ولد ذهاب مدرسه ابتسامه
00_0347|ولد دخل مدرسه خوف
00_0348|هو ابن بنت اول عمر سن سوال اسم سوال
00_0349|رقم عمر ابن ولد
00_0350|اب هو اسم سوال
00_0351|ام اب صم
00_0352|انا اخ موزه اكل صباح
00_0353|استيقاظ وقت ست صباح
00_0354|اسف فهم كلام لا انا
00_0355|انا اسم م ر ا د
00_0356|انا تنظيف_اسنان
00_0357|غسل_وجه
00_0358|غسل_يد
00_0359|بحر لون ازرق
00_0360|عضل رياضه فائده صحه
00_0361|منزل جدار لون ابيض
00_0362|مدرسه سهل
00_0363|مدرسه مشاهده فائده
00_0364|ولد شخص صعود جبل
00_0365|السبت ماضي انا تعب
00_0366|السلام_عليكم
00_0367|ولد بناء منزل جميل
00_0368|شباب شخص رغبه سباحه
00_0369|صلاه حلو
00_0370|د مساعده انسان
00_0371|اكل فائده مستشفى
00_0372|قلم لون ازرق
00_0373|لون قلم انا خاص
00_0374|مدرسه جميل
00_0375|ترجمه سريع ذكي
00_0376|نوم فندق ممتاز سعيد
00_0377|ولد هو كتابه
00_0378|ولد شخص لعب
00_0379|مع_السلامه
00_0380|ام نداء انا اخ
00_0381|انا فهم لغه اشاره قليل
00_0382|انا كره طفل بكاء
00_0383|انا سعيد سبب مشاهده
00_0384|انا عمر اثنان_ثلاثون سن
00_0385|هو حب قهوه كوفي
00_0386|هو شخص ذكي
00_0387|هو سوال منزل موقع سوال
00_0388|انا جد ماضي شراء مزرعه
00_0389|جد ماضي حب شاي اب انا حب قهوه
00_0390|مدرسه قصه يوجد طاوله هو
00_0391|استفهام سوال ابن جيد
00_0392|استفهام سوال شخص هو اسره جيد
00_0393|انا زوج لا_يوجد
00_0394|مع ذهاب
00_0395|استفهام هو اسم سوال
00_0396|هو عمل سوال
00_0397|انا صم
00_0398|استفهام هو صم
00_0399|استفهام هو زوج
00_0400|كل_يوم صباح مشي وقت اثنان
01_0001|سوال هو
01_0002|هو معلم لغه اشاره
01_0003|استفهام هو معلم هو
01_0004|هو معلم لا انا مدرسه
01_0005|هو سوال
01_0006|هو صديق مدرسه
01_0007|استفهام هو صديق مدرسه
01_0008|انا اسره رقم ثلاث اشخاص
01_0009|رقم عمر ابن بنت
01_0010|عمر اربع سن عمر
01_0011|عمر سن خمسون سن
01_0012|سوال بنت ابن
01_0013|عمر ابن خمسون سن
01_0014|معرفه هو لغه اشاره
01_0015|معرفه لغه اشاره
01_0016|هو معرفه ام لغه اشاره
01_0017|لا معرفه لغه اشاره
01_0018|ممكن هو قدره كتابه اسم هو
01_0019|انا كتابه
01_0020|استفهام تاريخ الان سوال
01_0021|الان واحد شهر عشر
01_0022|انا ذهاب مدرسه سبب كره_قدم
01_0023|انا قلب قدره
01_0024|هو رغبه شرب سوال
01_0025|انا رغبه شرب شاي
01_0026|هو رغبه اكل سوال
01_0027|انا رغبه اكل رز
01_0028|انا رغبه ذهاب مكتبه بعد صيف
01_0029|هو رغبه بعد صيف سوال
01_0030|انا رغبه ذهاب لوحه بقاله
01_0031|سبب رغبه شراء
01_0032|انا رغبه كوب شراء
01_0033|انا رغبه معرفه لغه اشاره
01_0034|انا رغبه ذهاب مدرسه سبب قراءه غدا
01_0035|رقم معلم مدرسه هو
01_0036|رقم اشخاص مدرسه هو مدرسه
01_0037|سوال قط
01_0038|قط صغير تحت طاوله
01_0039|اب هو منزل يوجد
01_0040|لا منزل لا_يوجد
01_0041|سوال اب
01_0042|اب مستشفى يوجد
01_0043|سوال عمل
01_0044|صديق انا مدرسه
01_0045|انا ام منزل
01_0046|سوال كوب شرب
01_0047|سوال صديق هو
01_0048|قراءه سوال مكان مدرسه
01_0049|طاوله هو سوال
01_0050|طاوله كتاب لاب_توب يوجد
01_0051|هو اسم هو
01_0052|اسم هو ولد خلف
01_0053|استئذان انا كرسي الان
01_0054|استئذان دعوه كرسي
01_0055|سوال كرسي يوجد سوال
01_0056|كرسي قط صغير فوق_كرسي
01_0057|يوجد مدرسه يوجد بيع
01_0058|رقم وقت الان
01_0059|وقت سوال عشر
01_0060|وقت هو صيف اكل وقت سوال
01_0061|تاريخ وقت اب انا منزل اخر تاريخ
01_0062|وقت خمس ليل
01_0063|هو تاريخ ذهاب سينما فيلم تاريخ
01_0064|هو الان مطر
01_0065|لا مطر الان لا
01_0066|لا برد الان
01_0067|سوال صحه هو
01_0068|شكر د
01_0069|هو مطر غدا
01_0070|لا غدا مطر لا
01_0071|هو عمل سوال
01_0072|انا شعر قراءه
01_0073|انا شراء تفاحه موزه انواع
01_0074|انا سعيد مقابله
01_0075|هو رغبه رياضه سوال قلب رغبه سوال
01_0076|انا حب كره_قدم كثير حب
01_0077|سوال هو شراء تفاحه
01_0078|انا شراء تفاحه لا_يوجد
01_0079|هو لبس جيد حلو
01_0080|جو برد قليل
01_0081|انا الان ماضي تعب
01_0082|هو مشاهده هاتف مشاهده
01_0083|هو صديق انا
01_0084|سوال عمر اخ هو
01_0085|انا استيقاظ وقت خمس صباح كل_يوم
01_0086|نهايه كتابه منزل نهايه
01_0087|انا خلط اكل خلط كل_يوم ليل
01_0088|انا خوف
01_0089|سبب خوف
01_0090|دعوه مع دعوه اكل ليل دعوه الان ليل
01_0091|سوال كرسي حمام
01_0092|انا رغبه شرب بقره
01_0093|اعاده عوده مدرسه حافله
01_0094|هو اكل صباح اكل هو
01_0095|انا اب خلط اكل نارغرفه
01_0096|مكتبه مدرسه جميل
01_0097|لا حب اكل موز
01_0098|كتاب جواز تذكره طياره حقيبه_يد يوجد
01_0099|انا اب حادث
01_0100|انا اكل ليل وقت تسع
01_0101|انا زوج عمل كثير
01_0102|زوج عمل سوال اكل لوحه
01_0103|هو طفل رغبه لعب انواع كثير
01_0104|رغبه حذاء خوف
01_0105|انا رغبه تلفاز حاسب خوف
01_0106|هو رغبه دراجه
01_0107|زهره مطر رغبه
01_0108|استفهام هو جوع اكل هو
01_0109|هو يوجد سلطه اتقان
01_0110|استفهام هو تفاحه اتقان
01_0111|اخ جوع
01_0112|هو ام جوع
01_0113|الان تفاحه موزه يوجد لوحه
01_0114|هو مساعده
01_0115|شرطه استفهام منزل ام سوال
01_0116|تاريخ زوج هو ذهاب سينما
01_0117|معلم ذهاب مركز صم يوم الاربعاء
01_0118|شخص صم ذهاب مركز صم
01_0119|انا بيتزا سوال لوحه اكل
01_0120|هو رغبه حب اكل شوكولاته بسكوت حب هو
01_0121|انا سياره ركوب ذهاب لوحه بقاله شوكولاته
01_0122|بنت دراجه
01_0123|انا صديق دراجه ماضي
01_0124|شرطه دراجه_ناريه
01_0125|ولد صم هو سياره قدره
01_0126|مدرسه شخص سياره ذهاب وصل مركز سياره
01_0127|استفهام الحذاء مشاهده سوال
01_0128|هو قدره مشاهده نظاره
01_0129|لاب_توب حاسب مشاهده لاب_توب
01_0130|انا ذهاب سينما الان ليل
01_0131|اخ ذهاب اكل لوحه
01_0132|انا ذهاب لوحه شوكولاته بقاله انواع شراء
01_0133|زوج ذهاب لوحه بقاله
01_0134|دعوه نداء اكل رغبه تعداد
01_0135|الان برد ليل برد
01_0136|الان برد ماضي مركز صم
01_0137|انا شعور برد حافله داخل ليل الان
01_0138|شراء شاي شرب رغبه هو
01_0139|انا شراء شوكولاته
01_0140|ولد شخص شراء ماء
01_0141|انا غدا حاسب شراء
01_0142|الان خس ال خ س لوحه بقاله
01_0143|انا الان خلط اكل
01_0144|الان خلط لا
01_0145|وقت سوال حافله دخول
01_0146|وقت رئيس ذهاب وقت سوال
01_0147|رقم بسكوت مال تفاحه مال رقم
01_0148|زوج هو معرفه لغه اشاره
01_0149|هو صديق هو معرفه لغه اشاره
01_0150|بنت هو قراءه
01_0151|ولد قراءه
01_0152|صديق كتاب قراءه
01_0153|ام قراءه كل_يوم السبت
01_0154|اخ حب كتاب خوف هو
01_0155|انا حب شاي
01_0156|انا حب بقره اتقان
01_0157|طفل حب ثلج هو
01_0158|انا حب شوكولاته بقره
01_0159|هو حب شوكولاته بسكوت
01_0160|سلطه اتقان ممتاز
01_0161|موزه تفاحه اتقان ممتاز جيد
01_0162|انا صديق كتابه
01_0163|ممكن صديق قدره كتابه
01_0164|لعب هو ممتاز
01_0165|انا بحث تفاحه احمر
01_0166|هو رغبه قهوه شاي رغبه سوال
01_0167|هو بحث قهوه شاي
01_0168|انا بحث تفاحه احمر شوكولاته
01_0169|رئيس اتصال
01_0170|استفهام غدا صديق لقاء
01_0171|انا غدا صديق لقاء
01_0172|هو شرب هو
01_0173|انا شرب ماضي
01_0174|ولد شخص ماء هو
01_0175|نسيان دراجه
01_0176|انا جميع جوع
01_0177|حافله خوف هو
01_0178|سوال بيتزا
01_0179|نظاره غالي
01_0180|حذاء رخيص
01_0181|حاسب لاب_توب غالي
01_0182|شوكولاته صحه
01_0183|اب مستشفى منزل سبب حادث
01_0184|استئذان عصير تفاحه
01_0185|رغبه صوره قط صغير
01_0186|انا خوف ولاده قبل وقت
01_0187|انا ام ذهاب مستشفى سبب مرض
01_0188|انا نوم تقلب
01_0189|ابن زعل سبب كلب موت
01_0190|جد ماضي هو حزن سبب طير موت
01_0191|انا زعل سبب قط موت الان صباح
01_0192|انا ذهاب مزرعه شراء بيض موزه انواع
01_0193|وجوب استيقاظ وقت سبع كل_يوم
01_0194|انا صديق صم قدره ترجمه اشاره
01_0195|استئذان تذكره طياره عطاء
01_0196|ترجمه ذهاب مركز الثلاثاء مستمر
01_0197|انا حفيد رغبه سباحه بحر
01_0198|انا معرفه اخبار ترجمه مشاهده معرفه
01_0199|مشاهده شاشه قليل مشاهده اخبار
01_0200|انا غدا وقت اثنان عمل خلاص
01_0201|هو هاتف اتصال شرطه
01_0202|رغبه ساعه تخفيض طياره معاق
01_0203|انا اسم سياره اسم
01_0204|استفهام صدر خوف مسوول سوال سياره اسم
01_0205|هو وجوب شرب زياده
01_0206|كتاب صباح صيف مكتبه لوحه صباح صيف
01_0207|ولد سرق هاتف
01_0208|انا ولد هو هاتف اخذ اختفاء
01_0209|انت سوال ذهاب جري
01_0210|مستمر جري بحر
01_0211|سوال هو ماضي هو
01_0212|هو ماضي كوفي انتظار
01_0213|هو انا بحث هاتف بحث جواب
01_0214|هو رغبه اسبوع اخر راحه سعيد
01_0215|انا رغبه جواز سفر رغبه
01_0216|رغبه شكوى
01_0217|انا رغبه طبيب د
01_0218|د يوجد غدا يوجد
01_0219|مشكله سوال
01_0220|انا لا صحه سيئ
01_0221|انا استفراغ ثاني اسهال انا
01_0222|تاريخ سوال اسهال تاريخ فتح
01_0223|ثلاث قبل
01_0224|هو حمى هو
01_0225|نعم انا دوخه
01_0226|انا ماضي ثلاث اكل سوال
01_0227|انا رغبه وقت موعد صوره بطن رغبه
01_0228|هو تجنب بقره خضار انواع تجنب
01_0229|انا قدره دجاج سمكه
01_0230|تمام اريد اكل رز مكرونه قدره
01_0231|انا عمل لا_يوجد تامين لا_يوجد
01_0232|هو دفع مال سوال
01_0233|بنك اي_شي
01_0234|هو مقابله ملكيه مقابله محادثه
01_0235|اعاده عوده ثلاث عوده
01_0236|هو عوده مع هو
01_0237|ان_شاء_الله غدا دفع
01_0238|رغبه مستقبل سعيد
01_0239|مهم بطاقه هويه اخذ صوره
01_0240|ولد سرقه حقيبه_يد
01_0241|هو اختبار اخر شهاده
01_0242|هو رخصه رسمي واحد ثلاث
01_0243|بطاقه سوال اسابيع ثلاث
01_0244|جواز كتاب اتقان ممكن عشر_ايام
01_0245|وجوب دفع جواز سفر
01_0246|شكر
01_0247|شكر مساعده
01_0248|صباح خير
01_0249|صباح خير طاعه خدمه سوال
01_0250|صباح خير هو رغبه مساعده
01_0251|ولد صفه سوال
01_0252|ولد طويل نحيف شعر اصفر قصير
01_0253|انا بطن الم
01_0254|انا جواز تاريخ انتهاء
01_0255|سبب ولد شخص لبس سوال
01_0256|ولد لبس بنطال احمر حذاء ابيض
01_0257|سوال جواز تاريخ انتهاء تاريخ سوال
01_0258|سن خمس
01_0259|سوال ضياع حقيبه_يد
01_0260|ماضي مرض خطر
01_0261|هاتف هويه ضياع سوال
01_0262|هو بطن ت س م م
01_0263|انا هويه ضياع
01_0264|انا ممتاز اتقان
01_0265|وقت مسافه طياره خارج مسافه تاريخ سوال
01_0266|تاريخ سرقه تاريخ سوال
01_0267|ماضي
01_0268|تاريخ فتح مرض
01_0269|مرض ماضي صغير مرض
01_0270|دعوه انا رغبه مساعده
01_0271|انا دعوه طاعه مساعده
01_0272|دعوه اخبار حال جيد
01_0273|ليل خير
01_0274|مع_السلامه
01_0275|سوال ازعاج سوال
01_0276|هو دواء ماضي يوجد
01_0277|هو يوجد تحويل د
01_0278|انا نعم د بطن
01_0279|هو يوجد تامين
01_0280|نعم تامين
01_0281|هو رخصه سياره هو
01_0282|هو بطاقه صوره هويه هو
01_0283|ثاني صوره سوال جواز_سفر
01_0284|ولاده طفل اتقان
01_0285|ولاده ماضي تسع
01_0286|وجوب طلب صوره هويه
01_0287|سوال هو هاتف مشاهده سوال
01_0288|طاوله على
01_0289|استفهام سوال سرقه هاتف هو
01_0290|هو كتابه تفاصيل حال
01_0291|هو عضو مع السعوديه قصه
01_0292|نعم انا مع السعوديه قصه رمايه صم
01_0293|غدا شهاده تقديم
01_0294|سوال عمر سن
01_0295|انا تعليم ولد اخر شهاده
01_0296|انا رغبه لا ممتاز
01_0297|هو قلم يوجد
01_0298|هو كتابه تاريخ الان
01_0299|انا رغبه بطاقه سياره
01_0300|استفهام دواء قدره هو
01_0301|انا نوم ليل
01_0302|انا حب لون ابيض كره لون اسود
01_0303|انا رغبه شراء سوق لوحه
01_0304|انا اسم ا ح م د
01_0305|انا عمل ترجمه لغه اشاره
01_0306|انا قراءه كتاب
01_0307|انا مع اسره مع مشاهده كره_قدم مباراه
01_0308|انا رغبه ذهاب مستشفى سبب ابن مرض
01_0309|انا اب بيع تصوير
01_0310|اب انا لون حب لون ازرق ام لون حب سوال وردي
01_0311|انا حب اب
01_0312|انا حب بنت اخ
01_0313|انا حب صلاه
01_0314|انا حب اكل
01_0315|انا حب صديق
01_0316|انا اخ بنت جميل
01_0317|انا اخ زواج الثلاثاء قادم
01_0318|حقيبه_ظهر حقيبه_يد خفيف
01_0319|انا اخ سياره سرعه
01_0320|انا مساعده ام منزل
01_0321|انا مساعده فقير
01_0322|انا صديق مدرسه مع ثلاث بنت ولد خمس
01_0323|انا معرفه لغه اشاره
01_0324|انا وضوء صلاه
