id|gloss|text
00_0185|رغبه صوره قط صغير|ابني يريد تصوير القط الصغير
00_0186|انا خوف ولاده قبل وقت|اخاف من الولاده قبل الاوان
00_0187|انا ام ذهاب مستشفى سبب مرض|ذهبت والدتي الى المستشفى لانها مريضه
00_0188|انا نوم تقلب|اجد صعوبه في النوم
00_0189|ابن زعل سبب كلب موت|ابني حزين لان الكلب مات
00_0190|جد ماضي هو حزن سبب طير موت|جدي حزين لان الطائر مات
00_0191|انا زعل سبب قط موت الان صباح|انا حزين لان قطتي ماتت هذا الصباح
00_0192|انا ذهاب مزرعه شراء بيض موزه انواع|اذهب الى المزرعه لشراء البيض و الموز
00_0193|وجوب استيقاظ وقت سبع كل_يوم|يجب ان استيقظ الساعه السادسه كل يوم
00_0194|انا صديق صم قدره ترجمه اشاره|صديقي اصم لكن يمكنني ان اترجم له
00_0195|استئذان تذكره طياره عطاء|من فضلك اعطني تذكره الرحله
00_0196|ترجمه ذهاب مركز الثلاثاء مستمر|المترجم يذهب الى المعهد كل يوم ثلاثاء
00_0197|انا حفيد رغبه سباحه بحر|احفادي يرغبون السباحه في البحر
00_0198|انا معرفه اخبار ترجمه مشاهده معرفه|انا افهم الاخبار مع الترجمه
00_0199|مشاهده شاشه قليل مشاهده اخبار|نادرا اشاهد الاخبار التلفزيونيه
00_0200|انا غدا وقت اثنان عمل خلاص|ينتهي عملي غدا الساعه الثانيه
00_0201|هو هاتف اتصال شرطه|انت اتصلت بالشرطه
00_0202|رغبه ساعه تخفيض طياره معاق|اريد خصم الرحله للمعاقين
00_0203|انا اسم سياره اسم|اريد نقل ملكيه سيارتي
00_0204|استفهام صدر خوف مسوول سوال سياره اسم|من سيكون المالك الجديد
00_0205|هو وجوب شرب زياده|يجب ان تشرب الكثير من الماء
00_0206|كتاب صباح صيف مكتبه لوحه صباح صيف|المكتب مفتوح في الصباح و الظهر
00_0207|ولد سرق هاتف|سرق شخص ما هاتفي
00_0208|انا ولد هو هاتف اخذ اختفاء|اخذ رجل الهاتف وهرب
00_0209|انت سوال ذهاب جري|الى اين ركض
00_0210|مستمر جري بحر|ركض الى الشاطئ
00_0211|سوال هو ماضي هو|اين كنت
00_0212|هو ماضي كوفي انتظار|كنت في مقهى
00_0213|هو انا بحث هاتف بحث جواب|سوف ابحث عن الهاتف و نبلغك
00_0214|هو رغبه اسبوع اخر راحه سعيد|اتمنى لك عطله نهايه اسبوع سعيده
00_0215|انا رغبه جواز سفر رغبه|اريد الحصول على جواز سفر
00_0216|رغبه شكوى|اريد تقديم شكوى
00_0217|انا رغبه طبيب د|انا بحاجه الى طبيب
00_0218|د يوجد غدا يوجد|الطبيب موجود غدا
00_0219|مشكله سوال|ما المشكله
00_0220|انا لا صحه سيئ|صحتي غير جيده
00_0221|انا استفراغ ثاني اسهال انا|انا اتقيا و اعاني من الاسهال
00_0222|تاريخ سوال اسهال تاريخ فتح|منذ متى تعاني من الاسهال
00_0223|ثلاث قبل|ثلاث ايام
00_0224|هو حمى هو|هل لديك حمى
00_0225|نعم انا دوخه|نعم انا اعاني من دوخه
00_0226|انا ماضي ثلاث اكل سوال|ماذا اكلت قبل ثلاث ايام
00_0227|انا رغبه وقت موعد صوره بطن رغبه|اريد موعدا لاجراء تصوير البطن بالموجات فوق الصوتيه
00_0228|هو تجنب بقره خضار انواع تجنب|تجنب منتجات الالبان و الخضار
00_0229|انا قدره دجاج سمكه|يمكنني اكل الدجاج و السمك
00_0230|تمام اريد اكل رز مكرونه قدره|بالطبع يمكن ان تاكل الرز و المكرونه
00_0231|انا عمل لا_يوجد تامين لا_يوجد|انا عاطل عن العمل و ليس لدي تامين
00_0232|هو دفع مال سوال|اين دفع الرسوم
00_0233|بنك اي_شي|في احد البنوك
00_0234|هو مقابله ملكيه مقابله محادثه|هل تحدثت الى المالك
00_0235|اعاده عوده ثلاث عوده|تعال مره اخرى بعد ثلاث ايام
00_0236|هو عوده مع هو|هل جئتم معا
00_0237|ان_شاء_الله غدا دفع|ان شاء الله ادفع غدا
00_0238|رغبه مستقبل سعيد|اتمنى لك مستقبل سعيد
00_0239|مهم بطاقه هويه اخذ صوره|احتاج الى بطاقه الهويه و صوره ضوئيه
00_0240|ولد سرقه حقيبه_يد|سرق الرجل حقيبتي
00_0241|هو اختبار اخر شهاده|سيتم اختبارك و ستحصل على النتائج
00_0242|هو رخصه رسمي واحد ثلاث|ستكون الرخصه جاهزه في غضون ثلاث اسابيع
00_0243|بطاقه سوال اسابيع ثلاث|سيكون التصريح جاهز في غضون ثلاث اسابيع
00_0244|جواز كتاب اتقان ممكن عشر_ايام|سيكون جواز السفر جاهز في غضون عشر ايام
00_0245|وجوب دفع جواز سفر|يجب عليك دفع رسوم جواز السفر
00_0246|شكر|شكرا
00_0247|شكر مساعده|شكرا لمساعدتك
00_0248|صباح خير|صباح الخير
00_0249|صباح خير طاعه خدمه سوال|صباح الخير كيف يمكنني ان اخدمك
00_0250|صباح خير هو رغبه مساعده|صباح الخير هل تحتاج مساعده
00_0251|ولد صفه سوال|صف الرجل
00_0252|ولد طويل نحيف شعر اصفر قصير|كان الرجل طويل ونحيل وشعره اشقر قصير
00_0253|انا بطن الم|عندي الم في المعده
00_0254|انا جواز تاريخ انتهاء|جواز سفري منتهي الصلاحيه
00_0255|سبب ولد شخص لبس سوال|ماذا كان يرتدي الرجل
00_0256|ولد لبس بنطال احمر حذاء ابيض|الرجل يرتدي بنطال احمر و حذاء ابيض
00_0257|سوال جواز تاريخ انتهاء تاريخ سوال|ماهو تاريخ نهايه صلاحيه الجواز
00_0258|سن خمس|خمس سنوات
00_0259|سوال ضياع حقيبه_يد|كيف فقدت الحقيبه
00_0260|ماضي مرض خطر|اصبت بمرض خطير
00_0261|هاتف هويه ضياع سوال|كيف فقدت هاتفك و هويتك
00_0262|هو بطن ت س م م|لديك تسمم غذائي
00_0263|انا هويه ضياع|فقدت هويتي
00_0264|انا ممتاز اتقان|حالي ممتاز
00_0265|وقت مسافه طياره خارج مسافه تاريخ سوال|ما هي الفتره التي ستقضيها بالسفر الى الخارج
00_0266|تاريخ سرقه تاريخ سوال|متى حدثت السرقه
00_0267|ماضي|منذ زمن
00_0268|تاريخ فتح مرض|متى بدا المرض
00_0269|مرض ماضي صغير مرض|مرضت عندما كنت طفل
00_0270|دعوه انا رغبه مساعده|مرحبا انا بحاجه الى مساعده
00_0271|انا دعوه طاعه مساعده|مرحبا كيف يمكنني المساعده
00_0272|دعوه اخبار حال جيد|مرحبا ما اخبارك
00_0273|ليل خير|مساء الخير
00_0274|مع_السلامه|مع السلامه
00_0275|سوال ازعاج سوال|من يزعجك
00_0276|هو دواء ماضي يوجد|هل تناولت اي ادويه
00_0277|هو يوجد تحويل د|هل لديك تحويا من الطبيب
00_0278|انا نعم د بطن|نعم من طبيب الجهاز الهضمي
00_0279|هو يوجد تامين|هل لديك تامين
00_0280|نعم تامين|نعم لدي تامين
00_0281|هو رخصه سياره هو|هل لديك رخصه سياره
00_0282|هو بطاقه صوره هويه هو|هل عندك بطاقه هويتك
00_0283|ثاني صوره سوال جواز_سفر|و صوره جواز السفر
00_0284|ولاده طفل اتقان|ولد الطفل سليم
00_0285|ولاده ماضي تسع|ولد الطفل قبل الاوان
00_0286|وجوب طلب صوره هويه|يجب عليك احضار صوره من هويتك
00_0287|سوال هو هاتف مشاهده سوال|هل رايت الهاتف
00_0288|طاوله على|على الطاوله
00_0289|استفهام سوال سرقه هاتف هو|من الذي سرق الهاتف
00_0290|هو كتابه تفاصيل حال|اكتب الحدث بالتفصيل
00_0291|هو عضو مع السعوديه قصه|هل انت عضو في الفريق السعودي
00_0292|نعم انا مع السعوديه قصه رمايه صم|نعم انا في الفريق السعودي للرمايه للصم
00_0293|غدا شهاده تقديم|ساحضر الشهاده غدا
00_0294|سوال عمر سن|كم عمرك
00_0295|انا تعليم ولد اخر شهاده|انا ادرس وابني لديه شهاده
00_0296|انا رغبه لا ممتاز|لا احتاج شيء
00_0297|هو قلم يوجد|هل لديك قلم
00_0298|هو كتابه تاريخ الان|اكتب تاريخ اليوم
00_0299|انا رغبه بطاقه سياره|اريد الحصول على رخصه قياده
00_0300|استفهام دواء قدره هو|هل تناولت الدواء
00_0301|انا نوم ليل|انام ليلا
00_0302|انا حب لون ابيض كره لون اسود|احب اللون الابيض واكره اللون الاسود
00_0303|انا رغبه شراء سوق لوحه|اريد ان اشتري اغراض منزلي من السوبرماركت
00_0304|انا اسم ا ح م د|اسمي احمد
00_0305|انا عمل ترجمه لغه اشاره|انا اعمل مترجم لغه اشاره
00_0306|انا قراءه كتاب|انا اقرا الكتاب
00_0307|انا مع اسره مع مشاهده كره_قدم مباراه|انا واسرتي ذهبنا لمشاهده مباراه كره قدم
00_0308|انا رغبه ذهاب مستشفى سبب ابن مرض|اريد الذهاب للمستشفى بسبب ابني مريض
00_0309|انا اب بيع تصوير|ابي باع الكاميرا
00_0310|اب انا لون حب لون ازرق ام لون حب سوال وردي|ابي يحب اللون الازرق وامي تحب اللون الوردي
00_0311|انا حب اب|احب ابي
00_0312|انا حب بنت اخ|احب اختي
00_0313|انا حب صلاه|احب صلاه
00_0314|انا حب اكل|احب الطعام
00_0315|انا حب صديق|احب زميلي
00_0316|انا اخ بنت جميل|اختي جميله
00_0317|انا اخ زواج الثلاثاء قادم|اخي سيتزوج يوم الثلاثاء القادم
00_0318|حقيبه_ظهر حقيبه_يد خفيف|الحقيبه خفيفه
00_0319|انا اخ سياره سرعه|اخي يقود السياره بسرعه
00_0320|انا مساعده ام منزل|اساعد امي في المنزل
00_0321|انا مساعده فقير|اساعد الفقراء
00_0322|انا صديق مدرسه مع ثلاث بنت ولد خمس|اصدقائي في المدرسه ثلاث بنات و خمس اولاد
00_0323|انا معرفه لغه اشاره|انا اتعلم لغه الاشاره
00_0324|انا وضوء صلاه|انا اتوضا للصلاه
00_0325|انا حب كره_قدم صيد سمكه|انا احب كره القدم وصيد السمك
00_0326|انا طاعه سوال معلم|انا احترم المعلم
00_0327|انا زياره اقارب مستمر|انا ازور اقاربي دائما
00_0328|انا عمل معلم مدرسه|انا اعمل معلم مدرسه
00_0329|انا نار خلط صباح اكل|انا اجهز الفطور
00_0330|انا حفظ مدرسه قراءه|انا احفظ الدرس
00_0331|انا مدرسه جامعه|انا ادرس في الجامعه
00_0332|انا معرفه قراءه مدرسه|انا اذاكر دروسي
00_0333|انا ذهاب مدرسه|انا اذهب للمدرسه
00_0334|انا مشي منزل|انا اذهب للمنزل
00_0335|انا فوضى ترتيب غرفه نوم|انا ارتب غرفتي
00_0336|انا طاعه معلم بنت|انا استمع للمعلمه
00_0337|انا ذهاب مع اب صلاه الجمعه|انا ذاهب مع والدي الي صلاه الجمعه
00_0338|انا زوج مع كل_يوم مشي|انا وزوجتي نمشي يوميا
00_0339|اب نوم سرير|ابي ينام على السرير
00_0340|الاسبوع_الماضي جد موت رحمه الله|الاسبوع الماضي جدي مات رحمه الله
00_0341|الاسبوع_الماضي صديق جد موت|الاسبوع الماضي صديقي جده مات
00_0342|الجمعه السبت اجازه|الجمعه و السبت عطله
00_0343|شرطه قال ممنوع انتظار|الشرطي قال ممنوع الانتظار
00_0344|صيف نهايه ذهاب برد|الصيف انتهى و جاء الشتاء
00_0345|غني مساعده فقير|الغني يساعد الفقير
00_0346|ولد ذهاب مدرسه ابتسامه|الولد يخرج من المدرسه سعيد
00_0347|ولد دخل مدرسه خوف|الولد يدخل المدرسه خائف
00_0348|هو ابن بنت اول عمر سن سوال اسم سوال|ابنتك الاولى كم عمرها و ما اسمها
00_0349|رقم عمر ابن ولد|كم عمر ابنك
00_0350|اب هو اسم سوال|ابوك ما اسمه
00_0351|ام اب صم|ابي و امي من الصم
00_0352|انا اخ موزه اكل صباح|اخي ياكل الموز صباحا
00_0353|استيقاظ وقت ست صباح|استيقظ الساعه السادسه فجرا
00_0354|اسف فهم كلام لا انا|اسف لا افهم ما تقول
00_0355|انا اسم م ر ا د|اسمي مراد
00_0356|انا تنظيف_اسنان|اغسل اسناني
00_0357|غسل_وجه|اغسل وجهي
00_0358|غسل_يد|اغسل يدي
00_0359|بحر لون ازرق|البحر ازرق
00_0360|عضل رياضه فائده صحه|البروتين مفيد للجسم
00_0361|منزل جدار لون ابيض|الجدار ابيض
00_0362|مدرسه سهل|الدرس سهل
00_0363|مدرسه مشاهده فائده|الدرس مفيد
00_0364|ولد شخص صعود جبل|الرجل يصعد الجبل
00_0365|السبت ماضي انا تعب|السبت الماضي كنت متعب
00_0366|السلام_عليكم|السلام عليكم
00_0367|ولد بناء منزل جميل|الشاب يبني بيت جميل
00_0368|شباب شخص رغبه سباحه|الشاب يحب السباحه
00_0369|صلاه حلو|الصلاه جميله
00_0370|د مساعده انسان|الطبيب يساعد الناس
00_0371|اكل فائده مستشفى|الطعام صحي
00_0372|قلم لون ازرق|القلم ازرق
00_0373|لون قلم انا خاص|القلم هذا لي
00_0374|مدرسه جميل|الكتاب رائع
00_0375|ترجمه سريع ذكي|المترجم سريع وذكي
00_0376|نوم فندق ممتاز سعيد|النوم بالفندق مريح
00_0377|ولد هو كتابه|الولد يكتب الدرس
00_0378|ولد شخص لعب|الولد يلعب
00_0379|مع_السلامه|الى اللقاء
00_0380|ام نداء انا اخ|امي تنادي اخي
00_0381|انا فهم لغه اشاره قليل|انا افهم لغه الاشاره قليلا
00_0382|انا كره طفل بكاء|انا اكره بكاء الطفل
00_0383|انا سعيد سبب مشاهده|انا سعيد برويتك
00_0384|انا عمر اثنان_ثلاثون سن|انا عمري ٣٢ سنه
00_0385|هو حب قهوه كوفي|انت تحب القهوه
00_0386|هو شخص ذكي|انت شخص ذكي
00_0387|هو سوال منزل موقع سوال|ما هو عنوان منزلك
00_0388|انا جد ماضي شراء مزرعه|جدي اشترى مزرعه
00_0389|جد ماضي حب شاي اب انا حب قهوه|جدي يحب الشاي و ابي يحب القهوه
00_0390|مدرسه قصه يوجد طاوله هو|كتاب القصه على الطاوله
00_0391|استفهام سوال ابن جيد|كيف حال ابنك
00_0392|استفهام سوال شخص هو اسره جيد|كيف حال اسرتك
00_0393|انا زوج لا_يوجد|انا لست متزوج
00_0394|مع ذهاب|نذهب معا
00_0395|استفهام هو اسم سوال|ما هو اسمك
00_0396|هو عمل سوال|ماذا تعمل
00_0397|انا صم|انا اصم
00_0398|استفهام هو صم|هل انت اصم
00_0399|استفهام هو زوج|هل انت متزوج
00_0400|كل_يوم صباح مشي وقت اثنان|يوميا في الصباح امشي لمده ساعتين
00_0401|انا رغبه اكل مكرونه|اريد ان اكل المكرونه
00_0402|انا رغبه شراء بيض رز|اريد شراء البيض و الرز
00_0403|انا رغبه ذهاب بحر|اريد ان اذهب الى البحر
00_0404|هو بنت شخص حذاء اسود فستان لون وردي|البنت ترتدي حذاء اسود و فستان وردي
00_0405|صيف ذهاب صيد سمكه|في الصيف اذهب لصيد السمك
00_0406|انا اخ حب لون احمر|اخي يحب اللون الاحمر
00_0407|سرير خفيف سعيد|السرير مريح
00_0408|كلب خلف منزل|الكلب خلف الحائط
00_0409|انا سن الم سن|عندي الم في اسناني
00_0410|انا حفيد مع ذهاب قهوه كوفي|انا و احفادي ذهبنا الى المقهى
00_0411|انا اسف|انا اسف
00_0412|فندق داخل برد|الفندق بارد
00_0413|انا ابن ت س م م بطن|ابني يعاني من تسمم غذائي
00_0414|انا حب لا ال ب ق و ل ي ا ت|لا احب البقوليات
00_0415|انا معرفه سبب اختبار|انا اذاكر للاختبار
00_0416|انا وضوء قبل نوم|انا اتوضا قبل النوم
00_0417|ام نار خلط غرفه خلط|امي تطبخ الفطور في المطبخ
00_0418|طفل لعب بحر قريب|الطفل يلعب على الشاطى
00_0419|انا حب برد|احب البرد
00_0420|انا حب تفاحه موزه انواع صيف|احب اكل الفاكهه في الصيف
00_0421|انا لقاء اقارب مباراه|التقي باقاربي في المباراه
00_0422|سوال موقع بيع|اين المتجر
